country,code,GDP_Rate,Population_Rate,male_female
United Arab Emirates,ARE,0.13353165289444047,-0.8751647406619426,0.2248995335630642
Ecuador,ECU,0.49957820293140337,0.6033815608615826,0.4638048642805815
Nicaragua,NIC,-0.833946119578559,-0.8255747507852876,0.31893963091515104
Israel,ISR,-0.7139512726937896,-0.7291924390285555,0.5293943666958414
Antigua and Barbuda,ATG,0.10307056316588983,0.08737615099689348,-0.10887409782099214
Australia,AUS,-0.5315721476964714,-0.5646208111032615,0.3921049717897397
Chile,CHL,0.7412265208253949,0.8860362968664695,0.9177423204521785
Guyana,GUY,0.6379567025207801,0.7437917906391203,0.9281112485803712
Norway,NOR,-0.7406431335510838,-0.748714584633015,0.676397589005903
Lithuania,LTU,-0.9239757987267332,0.8439197389003377,0.9003117331951966
Spain,ESP,-0.038634407247479546,-0.053164590539434994,0.48156717915777697
Uruguay,URY,0.61206046817105,0.9060055152687617,0.8587484228985744
Colombia,COL,0.349834836383486,0.6502965557756294,0.9025825429570308
Sweden,SWE,-0.7157635369950575,-0.8367955220470025,0.932202599676573
Serbia,SRB,-0.74119281909919,0.8917438466295056,0.8661395032643612
Switzerland,CHE,-0.9109503853299824,-0.941634243754828,0.7919537517584536
Russian Federation,RUS,-0.8447320241371792,0.7728540015476153,0.8857233141479653
Italy,ITA,-0.8058989652804356,-0.7483354693911112,0.6742747053840109
Aruba,ABW,-0.3435631847421742,-0.38082929971748336,-0.0896580826542932
Denmark,DNK,-0.7850307502556488,-0.8652739564821987,0.8910632171122432
Ukraine,UKR,-0.7413562367777868,0.6286655509542651,0.5901272961357642
Jamaica,JAM,0.4175286354672185,0.406710853902309,0.9074020853861956
Qatar,QAT,0.10606379912893221,0.013609442270318437,0.611346199078047
Fiji,FJI,-0.175033186746895,0.13781252223966667,0.6722718751837697
Bosnia and Herzegovina,BIH,1.0,-1.0,0.9999999999999999
Guatemala,GTM,0.6460477591267606,0.6077664127513626,0.8538642059118067
Latvia,LVA,-0.8730699831833395,0.9267029127364987,0.9271634063119137
Kazakhstan,KAZ,-0.5970173129783953,-0.7764733717110566,0.5782401548957047
Luxembourg,LUX,-0.771267717471106,-0.7660784506416513,0.489556658944124
Cabo Verde,CPV,nan,nan,nan
Saint Kitts and Nevis,KNA,nan,nan,nan
Malta,MLT,0.6334189190517482,0.7097173857929746,0.2675601493893134
Costa Rica,CRI,0.4239576639070507,0.6470878455940876,0.5398743130036862
Mongolia,MNG,nan,nan,nan
Georgia,GEO,0.22750369806907142,-0.2769250985263654,0.7258542897822577
Saint Lucia,LCA,-0.20709434860087725,-0.20550352960664678,0.03113649495982827
Estonia,EST,-0.8871441228139315,0.9184498773864239,0.9358086868224571
Montenegro,MNE,0.8042382321252367,0.7929937207237043,0.9716536761248423
Turkey,TUR,0.7398789818429374,0.5511827818678845,0.9771007467819237
Bahamas,BHS,0.05787949829762419,0.10391135254523468,0.6704495054257873
Mauritius,MUS,-0.5128610225651166,-0.5244828473473317,0.6520425623637695
Canada,CAN,-0.8137269827924937,-0.8853487763790701,0.5408579705612813
Croatia,HRV,-0.868890585445501,0.31706210993116535,0.7959979127748795
Albania,ALB,-0.034496453383676906,0.44312185005827737,0.9301388730854625
Dominica,DMA,nan,nan,nan
United Kingdom,GBR,-0.7709229981372077,-0.5841934536674233,0.6502004158173154
Oman,OMN,-0.7547353920453064,-0.9986519823140845,nan
New Zealand,NZL,-0.4675420017577622,-0.515280848575581,0.07091713397447172
Cyprus,CYP,0.6812947745988275,-0.06665949856880224,0.5759583961485406
Barbados,BRB,-0.7409526707249005,-0.7655758635266628,0.7450093794021341
Austria,AUT,-0.9259200512084548,-0.9321270138951916,0.967931392575656
Romania,ROU,-0.1672021021555386,0.136618661194411,-0.24683987564621676
South Africa,ZAF,0.6287573335302014,0.7730113064056746,0.9361889884055604
Maldives,MDV,-0.18248021071126022,-0.18772546147031344,0.6604534183576913
Suriname,SUR,0.8333078326024655,0.6201295221641158,0.8768367980982116
Ireland,IRL,0.5052112448677143,0.4505715855031633,0.26841368805086707
Portugal,PRT,0.35133831604935134,0.37898883709928194,0.8071176556212301
Bahrain,BHR,-0.15135890711706393,-0.2225377940139798,0.5072535109414851
